Unix Time,Price
1663804800000,0
1663891200000,0
1663977600000,0
1664064000000,0
1664150400000,0
1664236800000,0
1664323200000,0
1664409600000,0
1664496000000,0
1664582400000,0
1664668800000,0
1664755200000,703333
1664841600000,842636
1664928000000,880000
1665014400000,850667
1665100800000,820250
1665187200000,746083
1665273600000,764714
1665360000000,706250
1665446400000,763818
1665532800000,791619
1665619200000,739000
1665705600000,712381
1665792000000,684000
1665878400000,728280
1665964800000,726111
1666051200000,732308
1666137600000,760880
1666224000000,776960
1666310400000,753778
1666396800000,724929
1666483200000,705759
1666569600000,734643
1666656000000,775034
1666742400000,769857
1666828800000,778963
1666915200000,749733
1667001600000,724345
1667088000000,708593
1667174400000,710536
1667260800000,719467
1667347200000,713406
1667433600000,680226
1667520000000,663533
1667606400000,634677
1667692800000,580700
1667779200000,557438
1667865600000,562600
1667952000000,588107
1668038400000,495345
1668124800000,467160
1668211200000,443667
1668297600000,458833
1668384000000,454862
1668470400000,525839
1668556800000,702640
