Unix Time,Price
1668556800000,3600000
1668560400000,3600000
1668564000000,3500000
1668567600000,3500000
1668571200000,3500000
1668574800000,3500000
1668578400000,3500000
1668582000000,3500000
1668585600000,3500000
1668589200000,3500000
1668592800000,3867000
1668596400000,3600000
1668600000000,3600000
1668603600000,3600000
1668607200000,3500000
1668610800000,3450000
1668614400000,3400000
1668618000000,3500000
1668625200000,3450000
1668628800000,3500000
1668632400000,3500000
1668636000000,3500000
1668639600000,3500000
