Unix Time,Price
1668556800000,551800
1668560400000,528600
1668564000000,556800
1668567600000,558000
1668571200000,554600
1668574800000,553600
1668578400000,544800
1668582000000,536400
1668585600000,535400
1668589200000,535000
1668592800000,529200
1668596400000,529400
1668600000000,533000
1668603600000,529400
1668607200000,529800
1668610800000,537200
1668614400000,541200
1668618000000,538400
1668621600000,540600
1668625200000,543400
1668628800000,547400
1668632400000,566000
1668636000000,555200
1668639600000,554200
