Unix Time,Price
1665100800000,1741771
1665187200000,1551592
1665273600000,1401352
1665360000000,1378135
1665446400000,1434468
1665532800000,1182554
1665619200000,1031257
1665705600000,1005652
1665792000000,1094254
1665878400000,1143633
1665964800000,1164051
1666051200000,1166258
1666137600000,1134571
1666224000000,1151369
1666310400000,1225847
1666396800000,1310233
1666483200000,1362210
1666569600000,1404908
1666656000000,1439276
1666742400000,1419760
1666828800000,1416294
1666915200000,1429244
1667001600000,1438193
1667088000000,1459568
1667174400000,1509164
1667260800000,1546487
1667347200000,1614811
1667433600000,1636336
1667520000000,1631657
1667606400000,1560770
1667692800000,1523661
1667779200000,1513317
1667865600000,1494211
1667952000000,1419208
1668038400000,1299417
1668124800000,1315274
1668211200000,1287110
1668297600000,1315134
1668384000000,1326856
1668470400000,1321176
